hanzi,pinyin,components,tu_hinh,y_nghia,radical,ghi_chu,,A968
块,,,"Chữ 塊 có nghĩa là 'hòn' hay 'cục đất', 'cụm'. Chữ 塊 là hình ảnh kết hợp giữa chữ 土 (thổ - đất) và chữ 鬼 (quỷ - ma). Tuy nhiên, nghĩa 'cục đất' ban đầu dùng chữ 凷 trước đó. Trong kim văn, chữ 凷 vẽ hình ảnh cục đất đựng trong rổ được vẽ. Tuy nhiên, trong tiểu triện, chữ 塊 kết hợp chữ 土 và chữ 鬼 đã thay thế nghĩa đó. Lưu ý, chữ 鬼 chỉ đóng vai trò phát âm 'gui→goe'.",,,,,
少,shào、shǎo,小,"Chữ 少 có nghĩa là 'ít' hay 'không nhiều', 'trẻ'. Chữ 少 có cùng nguồn gốc với chữ 小 (tiểu - nhỏ) vì vẽ hình ảnh các mảnh vỡ nhỏ bắn tung tóe. Tuy nhiên, nếu chữ 小 vẽ 3 mảnh vỡ, thì chữ 少 vẽ hình ảnh 4 mảnh vỡ bắn tung tóe. Cổ đại, không liên quan đến số lượng mảnh vỡ, cả chữ 小 và chữ 少 đều được dùng với nghĩa 'nhỏ'. Tuy nhiên, chữ 小 hiện nay có nghĩa là 'nhỏ', còn chữ 少 được tách ra với nghĩa là 'ít'.",【少年、多少】,,,,
还,,,"Chữ 還 có nghĩa là 'quay trở lại' hay 'gửi trả lại'. Chữ 還 là hình ảnh kết hợp giữa chữ 辶 (sước - đi chậm) và chữ 睘 (quỳnh - nhìn ngạc nhiên). Chữ 睘 vẽ hình ảnh nhìn vào viên ngọc tròn đeo trên cổ. Chữ Hoàn, kết hợp chữ 辶 vào chữ 睘 vẽ viên ngọc tròn như vậy, biểu hiện nghĩa đi một vòng đường rồi quay lại. Tức là, chữ 睘 được dùng trong chữ 還 là ứng dụng của viên ngọc tròn.",,,,,
点,,,"Chữ 點 có nghĩa là 'điểm' hay 'vết bẩn', 'đốt lửa'. Chữ 點 là hình ảnh kết hợp giữa chữ 黑 (hắc - đen) và chữ 占 (chiêm - bói). Chữ 占 vẽ quẻ bói hiện ra trên mai rùa (腹甲). Chữ Điểm ban đầu là chữ được tạo ra để chỉ nghĩa 'đốt lửa'. Để nhóm lửa vào bếp lò, hẳn cần có bấc lửa. Do đó, chữ 占 được dùng trong chữ 點 vừa đóng vai trò phát âm, vừa biểu hiện hình dáng bấc lửa. Chữ 點 đôi khi cũng được dùng với nghĩa là 'điểm' hay 'vết bẩn', điều này có nghĩa là tro bay bám lại thành vết bẩn hoặc tạo ra lỗ.",,,,,
一,,,"Chữ 一 có nghĩa là 'một' hay 'thứ nhất', 'chỉ'. Chữ 一 vẽ hình ảnh thanh gỗ đặt ngang. Cổ đại, người ta biểu thị số 'một' bằng cách đặt một thanh gỗ ngang, hai thanh thì là 'hai', v.v. Cách đếm này gọi là 'que tính' (산가지). Do đó, chữ 一 có nghĩa là số 'một', nhưng vì chỉ có một gợi liên tưởng đến duy nhất, nên nó cũng có nghĩa là 'chỉ' hay 'tất cả'. Tuy nhiên, các chữ có bộ 一 làm bộ thủ thường mượn hình dáng đơn thuần mà không liên quan đến số.",,,,,
儿,ér,,"Chữ 儿 có nghĩa là 'người hiền'. Chữ 儿 ban đầu là chữ giống với chữ 人 (nhân - người), nhưng sau này biến đổi để dùng ở phía dưới chữ. Ví dụ, trong các trường hợp nhấn mạnh đặc điểm của phần đầu như chữ 光 (quang - sáng) hay chữ 兄 (huynh - anh cả), chữ 儿 nằm ở dưới để truyền đạt nghĩa 'người'. Do đó, mặc dù chữ 儿 theo từ điển có nghĩa là 'người hiền', nhưng khi được dùng làm bộ thủ, nó chỉ đơn thuần truyền đạt ý nghĩa liên quan đến 'người' giống như chữ 人.",,元、先、光,,,
怎,,,"Được tạo thành từ bộ tâm (心(=忄, 㣺) ☞ tâm, tim) biểu thị ý nghĩa và chữ Tạc (乍 → Chẩm) biểu thị âm đọc (jak → jeum).",,,,,
么,,,"Chữ 幺 có nghĩa là 'nhỏ' hay 'non nớt'. Chữ 幺 vẽ hình ảnh cuộn chỉ rút ra từ kén tằm. Chữ 糸 (mịch - sợi tơ mảnh) cũng là chữ vẽ cuộn chỉ. Tuy nhiên, nếu chữ 糸 có nghĩa là 'sợi chỉ' làm bằng cách xoắn cuộn chỉ 3 lần, thì chữ 幺 được phân biệt là 'nhỏ' vì xoắn ít hơn. Do đó, khi chữ 幺 kết hợp với các chữ khác, nó truyền đạt ý nghĩa 'nhỏ' hay 'non nớt'. Tuy nhiên, trong một số chữ, nó vẫn đóng vai trò giống như chữ 糸. Chữ 幺 đôi khi được viết là 么, nhưng cách viết chỉ khác nhau, là cùng một chữ.",,,,,
橘,,,Được tạo thành từ bộ mộc (木 ☞ gỗ) biểu thị ý nghĩa và chữ Duật (矞 → Quất) biểu thị âm đọc (yul → gyul) hợp lại.,,,,,
矞,,,"Được tạo thành từ bộ mâu (矛 ☞ mâu nhọn) biểu thị ý nghĩa và chữ Quỳnh (冏 → Duật (âm gốc là Quyết)) biểu thị âm đọc (gyeong → yul (âm gốc là gyeol)) hợp lại. Hoặc cũng có quan điểm xem là chữ tượng hình, chữ hội ý. (Chữ tượng hình) Là chữ mô phỏng cây mâu cắm trên bệ đá (臺座), biểu thị ý nghĩa 「đâm」, 「xuyên」. (Chữ hội ý) Được tạo thành từ bộ mâu (矛 ☞ mâu nhọn) và chữ Quỳnh (冏 ☞ dùng dùi đục).",,,,,
